,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
3853,PAST SALE,May-7-2021,Townhouse,365 Charles Morris Ter,SUNNYVALE,CA,94085.0,1500000.0,3.0,3.0,SUNNYVALE,1456.0,772.0,2016.0,8.0,1030.0,360.0,Sold,,,http://www.redfin.com/CA/Sunnyvale/365-Charles-Morris-Ter-94085/home/143043077,MLSListings,ML81836722,N,Y,37.3823979,-122.0155669
3854,PAST SALE,March-19-2021,Single Family Residential,393 S Fernwood Cir,SUNNYVALE,CA,94085.0,1600000.0,3.0,2.0,SUNNYVALE,1262.0,5300.0,1952.0,57.0,1268.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/393-S-Fernwood-Cir-94085/home/1576152,MLSListings,ML81829625,N,Y,37.391721000000004,-122.02076740000001
3855,PAST SALE,August-14-2018,Single Family Residential,163 W Arques Ave,SUNNYVALE,CA,94085.0,1600000.0,5.0,3.0,SUNNYVALE,1890.0,5063.0,1942.0,1005.0,847.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/163-W-Arques-Ave-94085/home/1722866,MLSListings,ML81713937,N,Y,37.384186799999995,-122.02907169999999
3856,PAST SALE,September-14-2020,Single Family Residential,701 Georgia Ave,SUNNYVALE,CA,94085.0,1575000.0,3.0,2.0,SUNNYVALE,1236.0,6625.0,1953.0,243.0,1274.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/701-Georgia-Ave-94085/home/1398198,MLSListings,ML81806031,N,Y,37.393087799999996,-122.0181027
3857,PAST SALE,October-18-2017,Condo/Co-op,250 Santa Fe Ter #123,SUNNYVALE,CA,94085.0,1000000.0,3.0,2.0,SUNNYVALE,1436.0,1400.0,1995.0,1305.0,696.0,517.0,Sold,,,http://www.redfin.com/CA/Sunnyvale/250-Santa-Fe-Ter-94085/unit-123/home/1327788,MLSListings,ML81679457,N,Y,37.3807582,-122.01683390000001
3858,PAST SALE,May-18-2018,Single Family Residential,938 Colusa Ave,SUNNYVALE,CA,94085.0,1575000.0,4.0,3.0,SUNNYVALE,1536.0,6030.0,1955.0,1093.0,1025.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/938-Colusa-Ave-94085/home/769364,MLSListings,ML81700188,N,Y,37.38896679999999,-122.0027133
3859,PAST SALE,March-5-2021,Single Family Residential,587 Kirk Ave,SUNNYVALE,CA,94085.0,1380000.0,2.0,1.0,SUNNYVALE,900.0,5200.0,1950.0,71.0,1533.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/587-Kirk-Ave-94085/home/1240548,MLSListings,ML81827085,N,Y,37.3898503,-122.02360959999999
3860,PAST SALE,July-27-2017,Single Family Residential,202 E Hemlock Ave,SUNNYVALE,CA,94085.0,1168400.0,3.0,2.0,SUNNYVALE,1608.0,5760.0,1955.0,1388.0,727.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/202-E-Hemlock-Ave-94085/home/1802559,MLSListings,ML81656915,N,Y,37.396004,-122.0229878
3861,PAST SALE,June-29-2018,Single Family Residential,582 Waite Ave,SUNNYVALE,CA,94085.0,1300000.0,3.0,1.0,SUNNYVALE,913.0,5703.0,1949.0,1051.0,1424.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/582-Waite-Ave-94085/home/1083937,MLSListings,ML81709953,N,Y,37.38979129999999,-122.02405359999999
3862,PAST SALE,January-31-2017,Townhouse,312 Santa Diana Ter,SUNNYVALE,CA,94085.0,1318000.0,4.0,3.5,SUNNYVALE,1805.0,1267.0,2016.0,1565.0,730.0,257.0,Sold,,,http://www.redfin.com/CA/Sunnyvale/312-Santa-Diana-Ter-94085/home/95957154,MLSListings,ML81613251,N,Y,37.381828000000006,-122.0172467
3863,PAST SALE,July-28-2017,Single Family Residential,565 Morse Ave,SUNNYVALE,CA,94085.0,1252000.0,3.0,2.0,SUNNYVALE,1600.0,5500.0,1948.0,1387.0,783.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/565-Morse-Ave-94085/home/993183,MLSListings,ML81656755,N,Y,37.3884081,-122.02067849999999
3864,PAST SALE,December-20-2019,Condo/Co-op,460 Costa Mesa Ter Unit D,SUNNYVALE,CA,94085.0,760000.0,2.0,1.0,SUNNYVALE,880.0,909.0,1985.0,512.0,864.0,419.0,Sold,,,http://www.redfin.com/CA/Sunnyvale/460-Costa-Mesa-Ter-94085/unit-D/home/1575635,MLSListings,ML81776041,N,Y,37.392939399999996,-122.04525659999999
3865,PAST SALE,October-10-2017,Single Family Residential,225 W Ferndale Ave,SUNNYVALE,CA,94085.0,1650000.0,3.0,2.5,SUNNYVALE,1684.0,3800.0,2000.0,1313.0,980.0,60.0,Sold,,,http://www.redfin.com/CA/Sunnyvale/225-W-Ferndale-Ave-94085/home/1031887,MLSListings,ML81676540,N,Y,37.3946719,-122.02578559999999
3866,PAST SALE,April-23-2021,Single Family Residential,602 N Bayview Ave,SUNNYVALE,CA,94085.0,1775000.0,3.0,2.0,SUNNYVALE,1585.0,6385.0,1949.0,22.0,1120.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/602-N-Bayview-Ave-94085/home/646241,MLSListings,ML81836069,N,Y,37.3900217,-122.02067849999999
3867,PAST SALE,August-4-2017,Single Family Residential,430 E Ferndale Ave,SUNNYVALE,CA,94085.0,1265000.0,3.0,2.0,SUNNYVALE,1632.0,6000.0,1953.0,1380.0,775.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/430-E-Ferndale-Ave-94085/home/564831,MLSListings,ML81655460,N,Y,37.39278770000001,-122.0187245
3868,PAST SALE,March-22-2021,Condo/Co-op,723 Santa Cecilia Ter #2516,SUNNYVALE,CA,94085.0,1415000.0,3.0,3.5,SUNNYVALE,1790.0,,2020.0,54.0,791.0,116.0,Sold,,,http://www.redfin.com/CA/Sunnyvale/723-Santa-Cecilia-Ter-94085/unit-2516/home/173060475,MLSListings,ML81806164,N,Y,37.394563,-122.02889499999999
3869,PAST SALE,June-11-2020,Townhouse,428 San Eduardo Ter,SUNNYVALE,CA,94085.0,1350000.0,3.0,3.5,SUNNYVALE,1516.0,944.0,2011.0,338.0,891.0,256.0,Sold,,,http://www.redfin.com/CA/Sunnyvale/428-San-Eduardo-Ter-94085/home/40176076,MLSListings,ML81786347,N,Y,37.383707,-122.016117
3870,PAST SALE,May-18-2017,Single Family Residential,910 Barstow Ct,SUNNYVALE,CA,94085.0,1210000.0,3.0,2.0,SUNNYVALE,1300.0,5200.0,1956.0,1458.0,931.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/910-Barstow-Ct-94085/home/1084082,MLSListings,ML81648493,N,Y,37.3903357,-122.0043345
3871,PAST SALE,September-30-2016,Townhouse,356 Santa Diana Ter,SUNNYVALE,CA,94085.0,1158000.0,3.0,2.5,SUNNYVALE,1568.0,,2016.0,1688.0,739.0,257.0,Sold,,,http://www.redfin.com/CA/Sunnyvale/356-Santa-Diana-Ter-94085/home/95957099,MLSListings,ML81583570,N,Y,37.382437200000005,-122.01689170000002
3872,PAST SALE,February-4-2019,Multi-Family (2-4 Unit),725 Borregas Ave,SUNNYVALE,CA,94085.0,1650000.0,6.0,,SUNNYVALE,2651.0,11000.0,1972.0,831.0,622.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/725-Borregas-Ave-94085/home/655001,MLSListings,ML81732835,N,Y,37.394746999999995,-122.02392040000001
3873,PAST SALE,August-24-2018,Single Family Residential,799 Borregas Ave,SUNNYVALE,CA,94085.0,1250000.0,3.0,1.0,SUNNYVALE,1027.0,5937.0,1953.0,995.0,1217.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/799-Borregas-Ave-94085/home/913805,MLSListings,ML81713979,N,Y,37.396194200000004,-122.0234763
